file_name,recommended_data_source_name,grain,primary_key_or_dimension,primary_date_field,recommended_use
employee_360_fy2025.csv,Employee 360 FY2025,One row per employee,employee_id,join_date,"Workforce, diversity, compensation, performance, leave and training dashboard"
department_360_summary_fy2025.csv,Department 360 FY2025,One row per department,department,,Executive department comparison dashboard
02_fact_monthly_hr_kpi_fy2025.csv,Monthly HR KPI FY2025,One row per month,month,month,"Monthly headcount, turnover, absence, payroll and engagement trends"
05_fact_recruitment_fy2025.csv,Recruitment FY2025,One row per requisition,requisition_id,posted_date,"Recruitment funnel, cost and time-to-fill analysis"
06_fact_employee_separations_fy2025.csv,Separations FY2025,One row per separation,employee_id,exit_date,"Turnover, reasons and regrettable-exit analysis"
07_fact_leave_transactions_fy2025.csv,Leave Transactions FY2025,One row per leave transaction,leave_id,start_date,"Leave volume, type and absence analysis"
09_fact_training_development_fy2025.csv,Training FY2025,One row per employee-program participation,program_id,training_date,"Learning hours, cost, completion and assessment improvement"
10_fact_compensation_benefits_fy2025.csv,Compensation FY2025,One row per active employee,employee_id,,"Salary, total reward and compa-ratio analysis"
11_fact_performance_evaluation_fy2025.csv,Performance FY2025,One row per employee evaluation,employee_id,,"Performance, potential and promotion-readiness analysis"
12_fact_health_safety_fy2025.csv,Health and Safety FY2025,One row per incident,incident_id,incident_date,"Incident severity, lost time and corrective action analysis"
